기준연도,시도코드,시도명,대학구분명,대학교명,본분교구분명,설립형태구분명,평균입학금액,평균등록금액,데이터기준일자,제공기관코드,제공기관명
2023,48,경상남도,전문대학,진주보건대학교,본교,사립,0,5912294.3,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,서울예술대학교,본교,사립,0,8212184.7,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,부천대학교,본교,사립,0,6669357.2,2023-10-31,B552529,한국장학재단
2023,50,제주특별자치도,전문대학,제주한라대학교,본교,사립,0,5162560.4,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,전문대학,대구과학대학교,본교,사립,0,5779090.6,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,강릉영동대학교,본교,사립,0,6042264.8,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,한양여자대학교,본교,사립,0,6189253.2,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,혜전대학교,본교,사립,0,5828352.3,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,부산여자대학교,본교,사립,0,5964228,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,호산대학교,본교,사립,0,5801199.5,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,대동대학교,본교,사립,0,6011923.3,2023-10-31,B552529,한국장학재단
2023,26,부산광역시,전문대학,부산경상대학교,본교,사립,0,5762475.1,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,전문대학,동강대학교,본교,사립,0,5464931.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,경기과학기술대학교,본교,사립,0,6449584.1,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,경민대학교,본교,사립,0,6519835,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,영남외국어대학,본교,사립,0,5576022.7,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,경북전문대학교,본교,사립,0,5785791.7,2023-10-31,B552529,한국장학재단
2023,27,대구광역시,전문대학,계명문화대학교,본교,사립,0,5960246.2,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,계원예술대학교,본교,사립,0,7650237.4,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,수원과학대학교,본교,사립,0,5608023.2,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,송호대학교,본교,사립,0,5946981.7,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,동아방송예술대학교,본교,사립,0,7350814.1,2023-10-31,B552529,한국장학재단
2023,29,광주광역시,전문대학,기독간호대학교,본교,사립,0,5363375,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,대학,정석대학,본교,사립,0,0,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,웅지세무대학교,본교,사립,0,6960000,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,서정대학교,본교,사립,0,6289153.5,2023-10-31,B552529,한국장학재단
2023,51,강원특별자치도,전문대학,송곡대학교,본교,사립,0,5469242.6,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,김해대학교,본교,사립,0,5925590.3,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,ICT폴리텍대학,본교,사립,0,2380000,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,한국폴리텍 I 대학 서울정수캠퍼스,본교,사립,0,2494000,2023-10-31,B552529,한국장학재단
2023,28,인천광역시,전문대학,한국폴리텍 II 대학 인천캠퍼스,본교,사립,0,2494000,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,군산간호대학교,본교,사립,0,6353625,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,서일대학교,본교,사립,0,6090479.9,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,용인예술과학대학교,본교,사립,0,6961507.5,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,수원여자대학교,본교,사립,0,6750408.3,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,순천제일대학교,본교,사립,0,5462589.7,2023-10-31,B552529,한국장학재단
2023,11,서울특별시,전문대학,숭의여자대학교,본교,사립,0,5967167.8,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,신구대학교,본교,사립,0,6667323.4,2023-10-31,B552529,한국장학재단
2023,45,전라북도,전문대학,전주비전대학교,본교,사립,0,6234028.3,2023-10-31,B552529,한국장학재단
2023,30,대전광역시,전문대학,대전과학기술대학교,본교,사립,0,5893709.6,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,고구려대학교,본교,사립,0,4417214.1,2023-10-31,B552529,한국장학재단
2023,46,전라남도,전문대학,광양보건대학교,본교,사립,0,5608630.3,2023-10-31,B552529,한국장학재단
2023,47,경상북도,전문대학,경북보건대학교,본교,사립,0,5612046.4,2023-10-31,B552529,한국장학재단
2023,48,경상남도,전문대학,연암공과대학교,본교,사립,0,5562859.1,2023-10-31,B552529,한국장학재단
2023,44,충청남도,전문대학,연암대학교,본교,사립,0,6244519,2023-10-31,B552529,한국장학재단
2023,41,경기도,전문대학,연성대학교,본교,사립,0,6503345.4,2023-10-31,B552529,한국장학재단
